"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Starting Sequence Number","Type/Subtype","Priority","Info"
"88688","20.914815","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","265","2979","179","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2979, FN=0, Flags=.p....F.C"
"88718","20.921273","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","242","564","179","258","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=564, FN=0, Flags=.p..R..TC"
"88957","20.970128","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","565","88","223","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=565, FN=0, Flags=.p.....TC"
"89045","20.989078","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2980","88","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2980, FN=0, Flags=.p....F.C"
"89277","21.025419","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","566","88","223","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=566, FN=0, Flags=.p.....TC"
"89298","21.030508","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2981","88","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2981, FN=0, Flags=.p....F.C"
"89485","21.062864","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","252","567","189","223","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=567, FN=0, Flags=.p.....TC"
"89506","21.075499","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","275","2982","189","84","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2982, FN=0, Flags=.p....F.C"
"90866","21.379106","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","252","568","189","223","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=568, FN=0, Flags=.p.....TC"
"91292","21.462273","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","569","88","223","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=569, FN=0, Flags=.p.....TC"
"91372","21.483363","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","236","570","173","223","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=570, FN=0, Flags=.p.....TC"
"91560","21.532993","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","275","2983","189","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2983, FN=0, Flags=.p....F.C"
"91563","21.534886","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","163","571","100","223","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=571, FN=0, Flags=.p.....TC"
"91581","21.539207","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","170","2984","88","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2984, FN=0, Flags=.p....F.C"
"91582","21.539264","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","2985","173","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2985, FN=0, Flags=.p....F.C"
"91631","21.546796","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","170","2984","88","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2984, FN=0, Flags=.p..R.F.C"
"91632","21.546852","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","2985","173","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2985, FN=0, Flags=.p..R.F.C"
"91639","21.547245","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","186","2986","100","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2986, FN=0, Flags=.p....F.C"
"93657","22.048196","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","572","88","213","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=572, FN=0, Flags=.p.....TC"
"93669","22.053688","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","236","573","173","213","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=573, FN=0, Flags=.p.....TC"
"93717","22.063281","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","236","573","173","213","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=573, FN=0, Flags=.p..R..TC"
"93797","22.076722","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","170","2987","88","86","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2987, FN=0, Flags=.p....F.C"
"93798","22.076779","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","2988","173","86","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2988, FN=0, Flags=.p....F.C"
"93868","22.082236","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","163","574","100","213","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=574, FN=0, Flags=.p.....TC"
"93878","22.082903","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","186","2989","100","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2989, FN=0, Flags=.p....F.C"
"94218","22.151352","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","575","88","213","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=575, FN=0, Flags=.p.....TC"
"94354","22.189167","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2990","88","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2990, FN=0, Flags=.p....F.C"
"94422","22.203092","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","236","576","173","213","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=576, FN=0, Flags=.p.....TC"
"94431","22.211257","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","2991","173","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2991, FN=0, Flags=.p....F.C"
"95605","22.475151","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","577","88","213","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=577, FN=0, Flags=.p.....TC"
"95879","22.529770","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2993","88","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2993, FN=0, Flags=.p....F.C"
"95938","22.544214","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2993","88","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2993, FN=0, Flags=.p..R.F.C"
"96146","22.600350","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","1579","578","1516","213","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=578, FN=0, Flags=.p.....TC"
"96157","22.603063","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","248","579","185","213","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=579, FN=0, Flags=.p..R..TC"
"96199","22.616099","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","248","579","185","60","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=579, FN=0, Flags=.p..R..TC"
"96249","22.620120","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","1602","2994","1516","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2994, FN=0, Flags=.p....F.C"
"96251","22.620230","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","271","2995","185","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2995, FN=0, Flags=.p....F.C"
"96287","22.624190","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","248","579","185","60","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=579, FN=0, Flags=.p..R..TC"
"96736","22.713109","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","580","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=580, FN=0, Flags=.p.....TC"
"96926","22.783576","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2996","88","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2996, FN=0, Flags=.p....F.C"
