"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Starting Sequence Number","Type/Subtype","Priority","Info"
"84689","20.032586","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","178","1301","92","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1301, FN=0, Flags=.p.....TC"
"86320","20.441977","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1153","88","48","","QoS Data","Voice (Voice)","QoS Data, SN=1153, FN=0, Flags=.p.....TC"
"86715","20.509884","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","186","1302","100","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1302, FN=0, Flags=.p.....TC"
"87076","20.592044","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","170","1303","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1303, FN=0, Flags=.p.....TC"
"87077","20.592102","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1304","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1304, FN=0, Flags=.p.....TC"
"87327","20.635096","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","264","1305","178","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1305, FN=0, Flags=.p.....TC"
"87329","20.635258","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","1598","1306","1516","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1306, FN=0, Flags=.p.....TC"
"87330","20.635314","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","184","1307","98","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1307, FN=0, Flags=.p.....TC"
"87333","20.635523","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","1598","1306","1516","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1306, FN=0, Flags=.p..R..TC"
"87334","20.635579","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","184","1307","98","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1307, FN=0, Flags=.p..R..TC"
"87336","20.635725","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","1602","1306","1516","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1306, FN=0, Flags=.p..R..TC"
"87599","20.684122","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","302","1308","216","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1308, FN=0, Flags=.p.....TC"
"88635","20.903973","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1309","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1309, FN=0, Flags=.p.....TC"
"88638","20.904212","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1309","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1309, FN=0, Flags=.p..R..TC"
"88650","20.905182","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1309","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1309, FN=0, Flags=.p..R..TC"
"88725","20.921938","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","170","1310","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1310, FN=0, Flags=.p.....TC"
"88726","20.921997","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","180","1311","94","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1311, FN=0, Flags=.p.....TC"
"88728","20.922157","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1310","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1310, FN=0, Flags=.p..R..TC"
"88731","20.922374","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1310","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1310, FN=0, Flags=.p..R..TC"
"89074","20.995477","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","259","1312","173","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1312, FN=0, Flags=.p.....TC"
"89721","21.118733","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1313","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1313, FN=0, Flags=.p.....TC"
"89803","21.131247","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1313","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1313, FN=0, Flags=.p..R..TC"
"89868","21.147288","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1313","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1313, FN=0, Flags=.p..R..TC"
"90059","21.196239","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","243","1314","157","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1314, FN=0, Flags=.p.....TC"
"91549","21.524657","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","243","1315","157","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1315, FN=0, Flags=.p.....TC"
