"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Duration","Starting Sequence Number","Info"
"2437","50.041427","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","275","313","189","112","54\302\265s","","QoS Data, SN=313, FN=0, Flags=.p....F.C"
"2438","50.042179","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","275","313","189","112","54\302\265s","","QoS Data, SN=313, FN=0, Flags=.p..R.F.C"
"2464","50.156286","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","1944","88","48","47\302\265s","","QoS Data, SN=1944, FN=0, Flags=.p.....TC"
"2466","50.157338","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","314","88","112","47\302\265s","","QoS Data, SN=314, FN=0, Flags=.p....F.C"
"2490","50.319074","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","259","1948","173","48","54\302\265s","","QoS Data, SN=1948, FN=0, Flags=.p.....TC"
"2492","50.320347","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","315","173","112","54\302\265s","","QoS Data, SN=315, FN=0, Flags=.p....F.C"
"2510","50.340849","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","1949","88","48","48\302\265s","","QoS Data, SN=1949, FN=0, Flags=.p.....TC"
"2512","50.342612","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","316","88","112","47\302\265s","","QoS Data, SN=316, FN=0, Flags=.p....F.C"
"2518","50.357617","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","259","1950","173","48","56\302\265s","","QoS Data, SN=1950, FN=0, Flags=.p.....TC"
"2520","50.359157","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","317","173","112","54\302\265s","","QoS Data, SN=317, FN=0, Flags=.p....F.C"
"2538","50.381429","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","1951","88","48","48\302\265s","","QoS Data, SN=1951, FN=0, Flags=.p.....TC"
"2541","50.383669","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","318","88","112","47\302\265s","","QoS Data, SN=318, FN=0, Flags=.p....F.C"
"2594","51.047433","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","259","1960","173","48","54\302\265s","","QoS Data, SN=1960, FN=0, Flags=.p.....TC"
"2604","51.145070","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","319","173","112","54\302\265s","","QoS Data, SN=319, FN=0, Flags=.p....F.C"
