"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Duration","Starting Sequence Number","Info"
"2444","50.045345","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","781","88","112","47\302\265s","","QoS Data, SN=781, FN=0, Flags=.p....F.C"
"2458","50.152844","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","243","2994","157","48","54\302\265s","","QoS Data, SN=2994, FN=0, Flags=.p.....TC"
"2460","50.154211","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","243","783","157","112","54\302\265s","","QoS Data, SN=783, FN=0, Flags=.p....F.C"
"2496","50.322450","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","2995","88","48","47\302\265s","","QoS Data, SN=2995, FN=0, Flags=.p.....TC"
"2498","50.323391","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","788","88","112","47\302\265s","","QoS Data, SN=788, FN=0, Flags=.p....F.C"
"2504","50.337895","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","275","2996","189","48","54\302\265s","","QoS Data, SN=2996, FN=0, Flags=.p.....TC"
"2506","50.339897","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","275","789","189","112","54\302\265s","","QoS Data, SN=789, FN=0, Flags=.p....F.C"
"2524","50.361326","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","2997","88","48","47\302\265s","","QoS Data, SN=2997, FN=0, Flags=.p.....TC"
"2526","50.362093","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","790","88","112","47\302\265s","","QoS Data, SN=790, FN=0, Flags=.p....F.C"
"2532","50.377603","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","339","2998","253","48","58\302\265s","","QoS Data, SN=2998, FN=0, Flags=.p.....TC"
"2534","50.378511","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","339","791","253","112","58\302\265s","","QoS Data, SN=791, FN=0, Flags=.p....F.C"
"2609","51.150094","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","2999","88","48","47\302\265s","","QoS Data, SN=2999, FN=0, Flags=.p.....TC"
"2620","51.161093","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","259","3000","173","48","54\302\265s","","QoS Data, SN=3000, FN=0, Flags=.p.....TC"
"2623","51.174024","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","170","803","88","112","35\302\265s","","QoS Data, SN=803, FN=0, Flags=.p....F.C"
"2624","51.174079","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","255","804","173","112","11\302\265s","","QoS Data, SN=804, FN=0, Flags=.p....F.C"
"2693","51.467140","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","3001","88","48","47\302\265s","","QoS Data, SN=3001, FN=0, Flags=.p.....TC"
"2695","51.470197","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","818","88","112","47\302\265s","","QoS Data, SN=818, FN=0, Flags=.p....F.C"
"2699","51.515046","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","275","3002","189","48","54\302\265s","","QoS Data, SN=3002, FN=0, Flags=.p.....TC"
"2702","51.544545","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","275","819","189","112","54\302\265s","","QoS Data, SN=819, FN=0, Flags=.p....F.C"
"2726","51.670117","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","3003","88","48","47\302\265s","","QoS Data, SN=3003, FN=0, Flags=.p.....TC"
"2730","51.673501","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","821","88","112","47\302\265s","","QoS Data, SN=821, FN=0, Flags=.p....F.C"
"2734","51.692992","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","259","3004","173","48","54\302\265s","","QoS Data, SN=3004, FN=0, Flags=.p.....TC"
"2737","51.700396","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","259","822","173","112","54\302\265s","","QoS Data, SN=822, FN=0, Flags=.p....F.C"
"2755","51.722506","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","3005","88","48","47\302\265s","","QoS Data, SN=3005, FN=0, Flags=.p.....TC"
"2759","51.736612","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","823","88","112","47\302\265s","","QoS Data, SN=823, FN=0, Flags=.p....F.C"
"2763","51.741070","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","579","3006","493","48","72\302\265s","","QoS Data, SN=3006, FN=0, Flags=.p.....TC"
"2766","51.766402","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","579","824","493","48","72\302\265s","","QoS Data, SN=824, FN=0, Flags=.p....F.C"
"2797","51.885999","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","3007","88","48","47\302\265s","","QoS Data, SN=3007, FN=0, Flags=.p.....TC"
