782	1136	314	48	180	24	235	129	131	26		1918	3005	21	40	
570	747	139	22	95	19	245	142	135	25		1317	2139	20	34	
495	957	175	24	210	20	492	154	126	21		1452	2674	20	35	
604	891	170	23	332	126	442	200	185	17		1495	2990	20	45	
544	681	136	21	98	17	210	109	98	26		1225	1940	21	28	
486	855	175	21	626	59	542	149	145	19		1341	3077	20	31	
551	899	171	20	368	84	642	291	171	19		1450	3216	21	29	
526	865	168	20	374	115	645	490	102	20		1391	3325	21	35	
570	1003	174	53	173	24	240	147	113	54		1573	2551	20	30	
506	764	176	51	108	48	244	181	169	66		1270	2313	21	42	
518	867	169	19	612	84	627	303	242	55		1385	3496	21	31	
558	866	184	24	610	63	544	203	167	24		1424	3243	21	35	
511	858	202	22	300	57	451	183	149	15		1369	2748	21	34	
562	961	171	20	649	46	441	195	176	17		1523	3238	20	33	
599	865	167	18	639	56	447	183	161	21		1464	3156	21	26	
572	752	165	16	106	23	316	136	103	33		1324	2222	21	42	
587	864	165	19	136	13	381	123	91	20		1451	2399	21	39	
560	838	127	17	209	14	368	118	107	22		1398	2380	21	38	
572	864	173	21	237	40	648	190	180	17		1436	2942	21	36	
559	870	133	18	175	13	209	129	104	20		1429	2230	20	38	
