1353	2171	389	39	151	169	536	220	423	36		3524	5487	23	61	
1466	2152	330	40	135	54	714	358	378	32		3618	5659	21	47	
962	1555	264	25	378	22	488	238	266	26		2517	4224	21	59	
785	1448	270	302	158	109	727	203	230	25		2233	4257	20	43	
1092	1335	244	97	814	231	454	247	202	163		2427	4879	21	49	
772	2045	185	25	155	26	784	257	149	29		2817	4427	23	40	
1165	2281	213	25	183	18	439	211	150	24		3446	4709	20	35	
969	1568	220	154	140	218	409	251	143	23		2537	4095	20	41	
800	1399	190	28	211	41	735	412	773	69		2199	4658	22	44	
991	3054	405	45	216	591	288	335	158	25		4045	6108	20	291	
856	2397	203	26	132	352	321	157	136	19		3253	4599	20	38	
794	1341	244	668	1244	52	424	175	140	99		2135	5181	22	118	
1284	2062	208	24	720	24	532	255	511	33		3346	5653	22	36	
887	1468	255	37	428	60	452	585	1095	202		2355	5469	23	39	
1247	1428	245	461	206	19	691	250	166	60		2675	4773	22	379	
1122	1608	229	99	200	49	373	459	147	26		2730	4312	21	96	
1148	1729	243	26	192	21	446	214	187	24		2877	4230	21	60	
1012	1414	242	22	580	61	750	160	136	31		2426	4408	21	73	
1209	1447	233	422	139	55	340	328	131	18		2656	4322	20	48	
1563	1650	447	26	325	129	532	248	169	161		3213	5250	20	47	
