"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Duration","Starting Sequence Number","Info"
"6339","39.536017","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","180","2929","94","112","51\302\265s","","QoS Data, SN=2929, FN=0, Flags=.p....F.C"
"6351","39.538523","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","259","464","173","48","54\302\265s","","QoS Data, SN=464, FN=0, Flags=.p.....TC"
"6354","39.571439","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","259","2930","173","112","54\302\265s","","QoS Data, SN=2930, FN=0, Flags=.p....F.C"
"6379","39.661052","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","465","88","48","47\302\265s","","QoS Data, SN=465, FN=0, Flags=.p.....TC"
"6383","39.665073","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","2932","88","112","47\302\265s","","QoS Data, SN=2932, FN=0, Flags=.p....F.C"
"6391","39.757279","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","243","466","157","48","54\302\265s","","QoS Data, SN=466, FN=0, Flags=.p.....TC"
"6393","39.788228","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","243","2933","157","112","54\302\265s","","QoS Data, SN=2933, FN=0, Flags=.p....F.C"
"6428","39.930012","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","467","88","48","47\302\265s","","QoS Data, SN=467, FN=0, Flags=.p.....TC"
"6430","39.931632","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","2935","88","112","47\302\265s","","QoS Data, SN=2935, FN=0, Flags=.p....F.C"
"6438","39.964377","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","275","468","189","48","54\302\265s","","QoS Data, SN=468, FN=0, Flags=.p.....TC"
"6440","39.966111","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","275","2936","189","112","54\302\265s","","QoS Data, SN=2936, FN=0, Flags=.p....F.C"
"6459","39.976709","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","469","88","48","47\302\265s","","QoS Data, SN=469, FN=0, Flags=.p.....TC"
"6461","39.978457","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","2937","88","112","47\302\265s","","QoS Data, SN=2937, FN=0, Flags=.p....F.C"
"6466","39.984730","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","339","470","253","48","58\302\265s","","QoS Data, SN=470, FN=0, Flags=.p.....TC"
"6468","39.986433","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","339","2938","253","112","58\302\265s","","QoS Data, SN=2938, FN=0, Flags=.p....F.C"
