"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Duration","Starting Sequence Number","Info"
"6372","39.659105","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","275","3691","189","48","54\302\265s","","QoS Data, SN=3691, FN=0, Flags=.p.....TC"
"6374","39.659503","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","275","1167","189","112","54\302\265s","","QoS Data, SN=1167, FN=0, Flags=.p....F.C"
"6398","39.789242","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","3692","88","48","47\302\265s","","QoS Data, SN=3692, FN=0, Flags=.p.....TC"
"6400","39.789695","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1168","88","112","47\302\265s","","QoS Data, SN=1168, FN=0, Flags=.p....F.C"
"6421","39.928257","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","259","3694","173","48","54\302\265s","","QoS Data, SN=3694, FN=0, Flags=.p.....TC"
"6423","39.928726","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","1169","173","112","54\302\265s","","QoS Data, SN=1169, FN=0, Flags=.p....F.C"
"6445","39.966795","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","3695","88","48","47\302\265s","","QoS Data, SN=3695, FN=0, Flags=.p.....TC"
"6447","39.967311","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1170","88","112","47\302\265s","","QoS Data, SN=1170, FN=0, Flags=.p....F.C"
"6452","39.975459","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","259","3696","173","48","54\302\265s","","QoS Data, SN=3696, FN=0, Flags=.p.....TC"
"6454","39.975952","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","1171","173","112","54\302\265s","","QoS Data, SN=1171, FN=0, Flags=.p....F.C"
