"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Starting Sequence Number","Type/Subtype","Priority","Info"
"1424","12.847825","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","243","1482","157","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1482, FN=0, Flags=.p.....TC"
"1452","12.990360","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1483","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1483, FN=0, Flags=.p.....TC"
"1460","13.004704","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","275","1484","189","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1484, FN=0, Flags=.p.....TC"
"1463","13.004924","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","275","1484","189","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1484, FN=0, Flags=.p..R..TC"
"1466","13.005173","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","275","1484","189","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1484, FN=0, Flags=.p..R..TC"
"1484","13.013804","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1485","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1485, FN=0, Flags=.p.....TC"
"1487","13.014028","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1485","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1485, FN=0, Flags=.p..R..TC"
"1490","13.014240","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1485","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1485, FN=0, Flags=.p..R..TC"
"1499","13.026412","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","339","1486","253","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1486, FN=0, Flags=.p.....TC"
"1502","13.026639","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","339","1486","253","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1486, FN=0, Flags=.p..R..TC"
