"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Starting Sequence Number","Type/Subtype","Priority","Info"
"1390","12.710432","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2919","88","258","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2919, FN=0, Flags=.p.....TC"
"1393","12.711433","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2147","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2147, FN=0, Flags=.p....F.C"
"1398","12.744757","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","252","2920","189","258","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2920, FN=0, Flags=.p.....TC"
"1400","12.745022","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","275","2148","189","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2148, FN=0, Flags=.p....F.C"
"1439","12.975736","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2921","88","258","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2921, FN=0, Flags=.p.....TC"
"1441","12.976114","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2149","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2149, FN=0, Flags=.p....F.C"
"1445","12.988337","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","236","2922","173","258","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2922, FN=0, Flags=.p.....TC"
"1447","12.988575","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","2150","173","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2150, FN=0, Flags=.p....F.C"
"1472","13.006862","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2923","88","258","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2923, FN=0, Flags=.p.....TC"
"1474","13.007273","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2151","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2151, FN=0, Flags=.p....F.C"
