"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Starting Sequence Number","Type/Subtype","Priority","Info"
"1733","13.562677","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3622","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"1754","13.569575","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3623","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"1768","13.579610","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3624","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"1961","15.798858","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3626","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"2055","16.822743","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3627","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"2150","17.850172","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3628","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"2159","17.860933","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3629","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"2289","19.485182","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3630","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"2346","19.871495","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3631","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"2355","19.891856","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3632","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"2518","20.619880","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3633","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"2519","20.619973","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3642","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"2569","21.021018","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3643","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"2699","22.060985","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3645","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"3151","24.101171","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3646","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"3159","24.110033","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3647","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"3179","24.119045","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3648","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"3188","24.128278","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3649","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"3207","24.137013","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3650","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"3216","24.145513","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3651","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"3240","24.162043","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3652","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"3241","24.162136","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3653","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"3430","26.141671","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3655","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"3672","29.213136","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3656","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"3673","29.213232","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3657","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"3674","29.213287","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3658","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"3735","29.622848","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3659","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"3940","31.985975","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3660","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"3999","32.489976","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3661","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4024","32.513875","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3663","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4035","32.531528","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3664","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4036","32.531794","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3665","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4037","32.531853","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3666","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4065","32.539818","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3667","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4084","32.565699","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3668","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4097","32.570657","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3669","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4110","32.573692","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3670","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4118","32.574414","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3671","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4136","32.636691","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3672","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4158","32.668012","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3673","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4167","32.691646","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3674","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4190","32.758198","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3675","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4199","32.768207","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3676","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4218","32.777552","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3677","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4226","32.787222","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3678","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4248","32.840735","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3679","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4257","32.849780","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3680","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4294","32.985501","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3681","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4320","33.026139","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3682","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4351","33.096065","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3683","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4367","33.116888","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3684","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4389","33.127673","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3685","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4404","33.152093","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3686","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4422","33.207987","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3687","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4431","33.217140","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3688","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4445","33.224982","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3689","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4454","33.233821","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3690","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4640","35.252178","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3691","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
"4649","35.262965","","20:16:b9:9c:1d:b9","78:44:76:db:82:78","","802.11","57","","","64","3692","802.11 Block Ack","","802.11 Block Ack, Flags=........C"
