714	1089	319	35	696	137	373	155	146	68		1803	3732	21	52	
639	936	176	62	176	28	239	776	332	152		1575	3516	21	76	
626	958	213	31	114	38	230	127	140	60		1584	2537	21	43	
662	1079	268	76	151	76	291	199	137	42		1741	2981	21	74	
606	871	165	69	297	54	420	205	163	68		1477	2918	21	64	
539	1277	164	44	186	42	236	127	106	38		1816	2759	21	41	
603	954	197	81	211	52	367	218	211	30		1557	2924	21	58	
768	916	163	54	178	46	242	124	113	86		1684	2690	21	61	
623	930	211	22	228	49	648	151	157	70		1553	3089	21	33	
639	1098	184	27	231	74	472	245	277	151		1737	3398	21	37	
587	886	173	30	603	136	230	119	107	48		1473	2919	21	43	
578	1015	178	26	333	71	546	201	181	54		1593	3183	21	44	
557	727	141	27	100	19	322	148	119	30		1284	2190	21	37	
494	1005	203	22	186	19	561	177	142	52		1499	2861	21	32	
510	950	160	25	367	46	440	166	125	73		1460	2862	21	35	
525	927	193	25	580	135	238	166	106	34		1452	2929	21	36	
547	844	154	37	125	15	209	119	128	30		1391	2208	21	37	
595	1037	170	33	256	124	654	379	123	80		1632	3451	21	37	
577	894	164	23	393	64	454	195	166	77		1471	3007	21	35	
574	955	179	45	153	19	225	110	156	36		1529	2452	21	51	
