470	905	190	38	80	57	271	130	127	73		1375	2341	11	65	
464	809	108	74	91	58	214	174	147	98		1273	2237	10	70	
420	912	85	39	94	98	210	176	128	73		1332	2235	10	116	
343	823	87	107	70	36	196	688	116	219		1166	2685	11	111	
335	879	111	184	84	155	259	298	171	125		1214	2601	11	28	
288	840	152	34	91	91	215	240	132	52		1128	2135	11	44	
398	1575	99	46	73	53	356	153	293	129		1973	3175	11	246	
318	793	129	77	107	188	235	151	114	204		1111	2316	10	55	
399	954	159	49	123	68	248	152	108	73		1353	2333	11	17	
552	774	226	74	128	79	240	153	133	107		1326	2466	11	33	
297	762	100	95	104	31	326	202	70	123		1059	2110	10	62	
386	983	96	195	390	76	253	251	141	176		1369	2947	11	55	
458	861	150	61	113	172	285	119	145	80		1319	2444	10	52	
318	715	100	106	93	28	165	99	88	38		1033	1750	11	89	
460	1097	139	39	165	85	356	274	120	198		1557	2933	11	29	
458	698	128	41	73	39	265	174	323	46		1156	2245	10	25	
425	810	317	59	146	46	256	206	98	78		1235	2441	11	29	
342	882	105	90	80	86	223	156	151	448		1224	2563	12	104	
473	886	171	50	64	78	169	141	222	273		1359	2527	11	52	
510	825	170	25	66	107	238	182	116	289		1335	2528	10	27	
