301	663	305	113	149	77	245	177	153	103		964	2286	11	54	
461	889	118	97	137	50	210	101	130	77		1350	2270	11	26	
498	747	414	58	89	188	608	152	141	72		1245	2967	11	106	
379	1073	163	80	114	95	294	150	156	91		1452	2595	11	76	
520	923	184	64	103	121	215	100	108	27		1443	2365	11	23	
282	799	147	59	115	49	220	153	141	59		1081	2024	11	90	
335	927	96	108	79	54	192	155	114	99		1262	2159	11	43	
478	943	139	304	72	41	221	246	78	109		1421	2631	10	35	
490	832	147	152	80	25	185	311	310	132		1322	2664	11	20	
360	763	153	41	89	65	205	136	153	57		1123	2022	11	33	
334	1350	295	97	228	60	246	140	119	226		1684	3095	11	54	
514	791	142	86	103	39	353	159	127	228		1305	2542	11	19	
462	806	87	58	137	74	206	163	143	80		1268	2216	11	32	
307	1029	129	42	71	86	208	137	117	115		1336	2241	10	100	
314	729	80	91	64	66	197	163	79	95		1043	1878	10	43	
396	1383	288	297	401	45	233	187	156	81		1779	3467	11	21	
341	944	116	94	169	73	164	132	128	103		1285	2264	10	93	
467	758	95	61	87	42	449	98	111	78		1225	2246	10	38	
336	755	164	26	172	61	242	135	253	299		1091	2443	11	107	
306	956	96	74	116	26	332	150	147	118		1262	2321	11	19	
