500	1023	238	30	81	85	306	133	124	35		1523	2555	11	48	
366	1253	219	138	115	88	245	442	208	76		1619	3150	11	100	
506	999	273	369	91	181	373	144	155	273		1505	3364	11	30	
465	868	148	36	111	80	431	183	200	224		1333	2746	10	62	
529	1727	304	100	91	54	239	123	309	119		2256	3595	11	75	
589	1254	212	33	108	72	213	305	406	106		1843	3298	11	52	
490	814	151	48	113	37	271	186	92	204		1304	2406	11	65	
445	1243	230	169	130	270	576	144	286	278		1688	3771	11	83	
493	1112	117	87	55	247	240	288	209	232		1605	3080	11	27	
326	1032	154	107	116	16	829	439	191	101		1358	3311	11	72	
522	1229	281	191	111	57	288	191	160	105		1751	3135	11	46	
445	827	87	99	73	75	264	206	200	92		1272	2368	11	138	
281	1207	169	123	147	134	197	98	69	205		1488	2630	11	88	
280	584	90	30	75	31	228	136	96	103		864	1653	10	27	
357	970	138	155	79	167	200	184	189	72		1327	2511	11	116	
338	939	147	36	429	16	217	164	163	95		1277	2544	11	59	
481	1168	167	55	107	86	229	177	262	98		1649	2830	11	635	
478	1036	541	25	74	49	227	124	95	47		1514	2696	11	52	
368	818	97	112	72	196	265	245	139	36		1186	2348	11	61	
313	1438	265	53	272	50	182	302	565	40		1751	3480	11	60	
