468	713	156	19	59	13	373	89	74	14		1181	1978	10	22	
446	757	89	21	64	18	170	94	78	16		1203	1753	10	17	
332	647	95	17	61	17	165	89	74	17		979	1514	10	18	
487	755	90	16	54	16	164	87	72	14		1242	1755	10	20	
459	662	81	30	59	16	171	94	73	15		1121	1660	10	18	
342	447	86	12	73	16	167	91	69	11		789	1314	10	19	
343	447	70	15	54	9	148	74	63	15		790	1238	10	17	
441	650	81	18	55	14	164	81	74	13		1091	1591	10	18	
458	704	93	15	60	10	166	85	67	17		1162	1675	10	15	
352	647	78	14	54	13	162	95	78	17		999	1510	10	17	
446	1012	90	17	54	11	169	106	75	13		1458	1993	10	18	
442	439	93	17	56	19	171	88	67	11		881	1403	10	21	
447	557	86	13	60	15	171	82	66	9		1004	1506	10	17	
352	552	85	15	55	16	157	83	69	12		904	1396	10	20	
278	551	82	13	52	12	166	81	72	17		829	1324	10	15	
346	654	79	15	56	19	167	76	65	14		1000	1491	10	18	
347	660	93	16	58	17	169	86	73	12		1007	1531	10	19	
372	647	73	20	56	15	166	85	63	13		1019	1510	10	16	
345	555	80	17	57	12	160	90	68	13		900	1397	10	19	
460	648	77	24	55	12	164	86	66	14		1108	1606	10	14	
