"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Starting Sequence Number","Type/Subtype","Priority","Info"
"94730","41.477306","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","259","3818","173","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3818, FN=0, Flags=.p..R..TC"
"94735","41.478330","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","259","3818","173","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3818, FN=0, Flags=.p..R..TC"
"95527","41.616624","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","3819","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3819, FN=0, Flags=.p.....TC"
"95997","41.699648","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","243","3821","157","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3821, FN=0, Flags=.p.....TC"
"96879","41.853185","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","3822","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3822, FN=0, Flags=.p..R..TC"
"96882","41.853353","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","3822","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3822, FN=0, Flags=.p..R..TC"
"97140","41.885125","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","275","3823","189","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3823, FN=0, Flags=.p.....TC"
"97181","41.902773","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","275","3823","189","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3823, FN=0, Flags=.p..R..TC"
"97188","41.907616","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","275","3823","189","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3823, FN=0, Flags=.p..R..TC"
"97649","41.968656","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","3824","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3824, FN=0, Flags=.p.....TC"
"97652","41.968874","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","3824","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3824, FN=0, Flags=.p..R..TC"
"97655","41.969042","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","3824","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3824, FN=0, Flags=.p..R..TC"
"97837","41.987670","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","339","3825","253","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3825, FN=0, Flags=.p.....TC"
"97840","41.987890","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","339","3825","253","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3825, FN=0, Flags=.p..R..TC"
"97886","41.992987","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","339","3825","253","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3825, FN=0, Flags=.p..R..TC"
"98751","42.122306","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","3826","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3826, FN=0, Flags=.p.....TC"
"99150","42.199223","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","3826","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3826, FN=0, Flags=.p..R..TC"
"99152","42.199377","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","259","3827","173","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3827, FN=0, Flags=.p.....TC"
"99155","42.199745","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","259","3827","173","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3827, FN=0, Flags=.p..R..TC"
"99158","42.199999","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","259","3827","173","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3827, FN=0, Flags=.p..R..TC"
"101172","42.525499","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","3828","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3828, FN=0, Flags=.p.P...TC"
"101736","42.611600","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","3829","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3829, FN=0, Flags=.p.....TC"
"101738","42.611748","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","186","3830","100","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3830, FN=0, Flags=.p.....TC"
"102234","42.685735","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","275","3831","189","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3831, FN=0, Flags=.p.....TC"
